name,id
WCG Entertainment Productions,456.0
Mark Gordon Productions,11362.0
Castle Rock Entertainment,97.0
Midwinter Films,75942.0
Egg Pictures,802.0
PolyGram Filmed Entertainment,1382.0
Canal+,5358.0
Les Productions Lazennec,5869.0
La Sept Cinéma,16366.0
Kasso Inc. Productions,22684.0
Studio Image,68517.0
Cofinergie 6,68518.0
Channel Four Films,181.0
British Broadcasting Corporation (BBC),3324.0
Westdeutscher Rundfunk (WDR),7025.0
Canadian Broadcasting Corporation (CBC),12113.0
Cinemax Reel Life,12911.0
InPictures,12912.0
Lafayette Films,12913.0
Columbia Pictures,5.0
Castle Rock Entertainment,97.0
Gracie Films,18.0
Columbia Pictures Corporation,441.0
Touchstone Pictures,9195.0
Metro-Goldwyn-Mayer (MGM),8411.0
Dino De Laurentiis Company,10308.0
Spelling Films,10355.0
Universal Pictures,33.0
Brillstein-Grey Entertainment,1606.0
Robert Simonds Productions,3929.0
Amblin Entertainment,56.0
Malpaso Productions,171.0
Warner Bros.,6194.0
,
Walt Disney Pictures,2.0
Jim Henson Productions,2504.0
"Jim Henson Company, The",6254.0
,
,
Icon Entertainment International,4564.0
The Ladd Company,7965.0
B.H. Finance C.V.,11353.0
Columbia Pictures Corporation,441.0
Italo/Judeo Productions,46059.0
Bill/Phillips,46060.0
New Line Cinema,12.0
Golden Harvest Company,2521.0
Caravan Pictures,175.0
Hollywood Pictures,915.0
Téléfilm Canada,806.0
Skyline Films,2055.0
Malofilm,3498.0
Société de Développement des Entreprises Culturelles (SODEC),9116.0
British Screen Productions,12745.0
National Film Board of Canada (NFB),17027.0
imX Communications,22150.0
Glace Bay Pictures,38673.0
Ciné Télé Action,38674.0
Nova Scotia Film Development Corporation,40534.0
Ranfilm,85045.0
France 2 Cinéma,83.0
France 3 Cinéma,591.0
StudioCanal,694.0
Les Productions du Champ Poirier,883.0
Téléma Productions,885.0
,
Bavaria Film and Television Fund,3236.0
TriStar Pictures,559.0
Motion Picture Corporation of America (MPCA),11061.0
Savoy Pictures,11308.0
TriStar Pictures,559.0
,
Paramount Pictures,4.0
Jet Tone Production,540.0
The Criterion Collection,10932.0
Cecchi Gori Group Tiger Cinematografica,371.0
Miramax Films,14.0
Studio Babelsberg,264.0
Dieter Geissler Filmproduktion,1766.0
Cinevox Filmproduktion GmbH,1979.0
Warner Bros.,6194.0
Miramax,53009.0
Canal Horizons,22029.0
Mat Films,22618.0
Cinétéléfilms,71842.0
,
,
,
Fine Line Features,8.0
Channel Four Films,181.0
Bórd Scannán na hÉireann,1898.0
Canal+,5358.0
Paramount Pictures,4.0
,
,
Twentieth Century Fox Film Corporation,306.0
Couch Potatoe Productions,68229.0
,
Channel Four Films,181.0
Academy,38778.0
Mayfair Films,94477.0
Iberoamerica Films,94478.0
,
Cinergi Pictures Entertainment,1504.0
Touchstone Pictures,9195.0
United Artists,60.0
,
Fox Searchlight Pictures,43.0
Columbia Pictures,5.0
Don Simpson/Jerry Bruckheimer Films,10288.0
Warner Bros.,6194.0
New Line Cinema,12.0
Island Pictures,3492.0
Fine Line Features,8.0
BBC,5996.0
British Screen Productions,12745.0
Portman Productions,16027.0
Channel Four Films,181.0
Zenith Entertainment,3644.0
American Playhouse,3906.0
Union Générale Cinématographique (UGC),7248.0
La Sept Cinéma,16366.0
True Fiction Pictures,37909.0
Imagine Entertainment,23.0
Universal Pictures,33.0
United Artists,60.0
Talisman Productions,8989.0
October Films,236.0
Guild,1214.0
Fastnet Films,5353.0
Warner Bros.,6194.0
Polygram Filmed Entertainment,31080.0
Paris Films Productions,386.0
Five Films,387.0
Robert et Raymond Hakim,11290.0
Columbia Pictures,5.0
Castle Rock Entertainment,97.0
Miramax Films,14.0
InterAL,30334.0
PolyGram Filmed Entertainment,1382.0
Universal Pictures,33.0
Amblin Entertainment,56.0
The Harvey Entertainment Company,11098.0
Universal Pictures,33.0
40 Acres & A Mule Filmworks,4319.0
Paramount Pictures,4.0
"Kennedy/Marshall Company, The",7383.0
Hollywood Pictures,915.0
Don Simpson/Jerry Bruckheimer Films,10288.0
Superior Pictures,4532.0
Columbia Pictures,5.0
Los Hooligans Productions,11705.0
TriStar Pictures,559.0
Mundy Lane Entertainment,2510.0
Twentieth Century Fox Film Corporation,306.0
Cinergi Pictures Entertainment,1504.0
Why Not Productions,729.0
Desperate Pictures,1474.0
Blurco,2765.0
The Teen Angst Movie Company,18902.0
Touchstone Pictures,9195.0
Merchant Ivory Productions,20740.0
Columbia Pictures Corporation,441.0
First Knight Productions,10158.0
Regency Enterprises,508.0
Alcor Films,644.0
Canal+,5358.0
Donner/Shuler-Donner Productions,5739.0
Warner Bros.,6194.0
United Artists,60.0
Suftley,87394.0
,
TriStar Pictures,559.0
Alliance Communications Corporation,2480.0
Hollywood Pictures,915.0
Cinergi Pictures Entertainment,1504.0
TriStar Pictures,559.0
Miramax Films,14.0
JDI productions,13187.0
Lemon Sky Productions,13190.0
United Artists,60.0
Seraphim Films,3557.0
The Ontario Film Development Corporation,1203.0
First Choice Films,2267.0
Atlantis Films,4350.0
Telefilm Canada,7320.0
Max Films Productions,7828.0
Super Écran,11578.0
Société Générale des Industries Culturelles du Québec (SOGIC),35859.0
Touchstone Pictures,9195.0
Universal Pictures,33.0
Gramercy Pictures,37.0
Alphaville Films,11462.0
View Askew Productions,16934.0
Twentieth Century Fox Film Corporation,306.0
Saban Entertainment,2106.0
Toei Company,9255.0
PolyGram Filmed Entertainment,1382.0
Working Title Films,10163.0
Comet Film Produktion GmbH,16561.0
Avrora Media,38959.0
Cobblestone Pictures,38960.0
Kino Link Company,37897.0
Columbia Pictures,5.0
Twentieth Century Fox Film Corporation,306.0
1492 Pictures,436.0
Party Productions,37890.0
Dimension Films,7405.0
Playhouse International Pictures,2492.0
American Playhouse,3906.0
"Samuel Goldwyn Company, The",28205.0
Killer Films,1422.0
American Playhouse,3906.0
Kardana Films,38692.0
Chemical Films,39861.0
Hollywood Pictures,915.0
Cinergi Pictures Entertainment,1504.0
,
United Artists,60.0
Le Studio Canal+,183.0
Carolco Pictures,14723.0
Miramax Films,14.0
Spring Creek Productions,705.0
Warner Bros.,6194.0
Hawn / Sylbert Movie Company,16368.0
Metro-Goldwyn-Mayer (MGM),8411.0
,
Lightstorm Entertainment,574.0
Beta Film,1080.0
Madeleine Films,1147.0
Parc Film,14680.0
Hollywood Pictures,915.0
PolyGram Filmed Entertainment,1382.0
Interscope Communications,10201.0
Savoy Pictures,11308.0
Société Française de Production (SFP),6849.0
FIT Productions,16026.0
Portman Productions,16027.0
Universal Pictures,33.0
Amblin Entertainment,56.0
Regency Enterprises,508.0
Warner Bros.,6194.0
Seagal/Nasso Productions,17825.0
Victor Company of Japan (JVC),21480.0
Cutting Edge Films,63906.0
Hollywood Pictures,915.0
,
Twentieth Century Fox Film Corporation,306.0
Zucker Brothers Productions,2851.0
Universal Pictures,33.0
Gordon Company,1073.0
Davis Entertainment,1302.0
Licht/Mueller Film Corporation,6092.0
HBO,6068.0
A BandApart,6911.0
Rysher Entertainment,11661.0
United Artists,60.0
Paramount Pictures,4.0
Twentieth Century Fox Film Corporation,306.0
Canal+,5358.0
Studio Trite,6453.0
Caméra One,6454.0
PolyGram Audiovisuel,6367.0
British Screen Productions,12745.0
Detour Film Production,98.0
Warner Bros.,6194.0
Jack Giarraputo Productions,6365.0
Spelling Films International,18189.0
Regency Enterprises,508.0
Alcor Films,644.0
Canal+,5358.0
New Regency Pictures,10104.0
Hera Productions,16192.0
Universal Pictures,33.0
Island World,1595.0
Full Moon Entertainment,4867.0
The Rank Organisation,364.0
Bórd Scannán na hÉireann,1898.0
Lantana,4127.0
Price Entertainment,23808.0
Miramax Films,14.0
View Askew Productions,16934.0
New Line Cinema,12.0
American Zoetrope,70.0
Warner Bros.,6194.0
Baltimore Pictures,11407.0
Keystone Pictures,15709.0
Dream Man Productions Inc,52095.0
Paramount Pictures,4.0
Savoy Pictures,11308.0
Rysher Entertainment,11661.0
,
Castle Rock Entertainment,97.0
Columbia Pictures Corporation,441.0
New Line Cinema,12.0
Motion Picture Corporation of America (MPCA),11061.0
Ang Lee Productions,5528.0
Good Machine,10565.0
Central Motion Pictures,25345.0
Miramax Films,14.0
Alliance Entertainment,10166.0
Ego Film Arts,12800.0
Savoy Pictures,11308.0
Touchstone Pictures,9195.0
Twentieth Century Fox Film Corporation,306.0
PolyGram Filmed Entertainment,1382.0
Working Title Films,10163.0
Prufrock Pictures,34207.0
Columbia Pictures,5.0
Castle Rock Entertainment,97.0
Twentieth Century Fox Film Corporation,306.0
Walt Disney Pictures,2.0
TriStar Pictures,559.0
Metro-Goldwyn-Mayer,21.0
Italian International Film,1429.0
Stéphan Films,2359.0
MG,37581.0
,
,
Miramax Films,14.0
Fine Line Features,8.0
Kartemquin Films,13042.0
WingNut Films,11.0
Miramax Films,14.0
New Zealand Film Commission,294.0
Fontana Productions,2306.0
Caravan Pictures,175.0
Hollywood Pictures,915.0
Columbia Pictures,5.0
Majestic Films International,2630.0
Icon Entertainment International,4564.0
Walt Disney Pictures,2.0
Caravan Pictures,175.0
Universal Pictures,33.0
Bregman/Baer Productions,11393.0
Paramount Pictures,4.0
Geffen Pictures,360.0
Merchant Ivory Productions,2370.0
Touchstone Pictures,9195.0
Caravan Pictures,175.0
Touchstone Pictures,9195.0
Universal Pictures,33.0
Northern Lights Entertainment,8816.0
Fountainbridge Films,414.0
Warner Bros.,6194.0
Lee Rich Productions,36854.0
Walt Disney Pictures,2.0
Trimark Pictures,4063.0
Twentieth Century Fox Film Corporation,306.0
Lucasfilm,1.0
Twentieth Century Fox Film Corporation,306.0
Columbia Pictures,5.0
Warner Bros.,6194.0
Channel Four Films,181.0
Parallax Pictures,983.0
MK2 Productions,9209.0
Aviacsa,84803.0
Cinevista,84804.0
Bedford Falls Productions,348.0
TriStar Pictures,559.0
Pangaea,1656.0
Universal Pictures,33.0
Fine Line Features,8.0
New Line Cinema,12.0
Live Entertainment,285.0
Channel Four Films,181.0
Cineville,2832.0
Home Box Office (HBO),3268.0
Showcase Entertaiment Inc.,36836.0
Warner Bros.,6194.0
Paramount Pictures,4.0
Channel Four Films,181.0
Samuel Goldwyn Company,798.0
Close Call Films,23022.0
American Zoetrope,70.0
TriStar Pictures,559.0
Walt Disney Pictures,2.0
TriStar Pictures,559.0
Paramount Pictures,4.0
The Kennedy/Marshall Company,862.0
Twentieth Century Fox Film Corporation,306.0
Hollywood Pictures,915.0
American Zoetrope,70.0
American Playhouse,3906.0
Majestic Films International,20928.0
Newcomb Productions,89873.0
Wolper Organization,2428.0
Warner Bros.,6194.0
Paramount Pictures,4.0
Capella International,594.0
Cinehaus,761.0
Twentieth Century Fox Film Corporation,306.0
Egg Pictures,802.0
PolyGram Filmed Entertainment,1382.0
40 Acres & A Mule Filmworks,4319.0
TOEI,7260.0
Distant Justice Joint Venture,42935.0
Metrodome Films,11139.0
Filmwerks,7954.0
Imperial Entertainment,21437.0
Triumph Films,23098.0
Regency Enterprises,508.0
Alcor Films,644.0
Ixtlan,4198.0
Warner Bros.,6194.0
New Regency Pictures,10104.0
J D Productions,68551.0
TriStar Pictures,559.0
Avalon Studios,293.0
New Zealand Film Commission,294.0
New Zealand On Air,295.0
New Line Cinema,12.0
CineTel Pictures,17067.0
MG Entertainment,17068.0
Kopelson Entertainment,824.0
Punch Productions,2154.0
Warner Bros.,6194.0
Arnold Kopelson Productions,16775.0
Columbia Pictures,5.0
Gaumont,9.0
"Samuel Goldwyn Company, The",28205.0
Hollywood Pictures,915.0
Miramax Films,14.0
A Band Apart,59.0
Jersey Films,216.0
Polygram Filmed Entertainment,31080.0
Gramercy Pictures (I),31715.0
MVP Films,37580.0
Ang Lee Productions,5528.0
BBC Films,288.0
PolyGram Filmed Entertainment,1382.0
Miramax,53009.0
Wildwood Enterprises,316.0
Hollywood Pictures,915.0
Baltimore Pictures,11407.0
Cecile Company,84839.0
Thousand Cranes Filmworks,84840.0
Renn Productions,82.0
Eurimages,850.0
Canal+,5358.0
ARD/Degeto Film GmbH,6187.0
D.A. Films,6541.0
France2 Cinéma,7089.0
WMG Film,8923.0
Centre National de la Cinématographie (CNC),18367.0
N.E.F. Filmproduktion und Vertriebs GmbH,18495.0
Miramax,53009.0
RCS Films & TV,75913.0
TriStar Pictures,559.0
Hollywood Pictures,915.0
Interscope Communications,10201.0
Nomura Babcock & Brown,12883.0
Miramax Films,14.0
Zespół Filmowy TOR,38.0
Le Studio Canal+,183.0
France 3 Cinéma,591.0
Télévision Suisse-Romande,1245.0
France 3 Cinéma,591.0
CED Productions,1610.0
Le Studio Canal+,183.0
France 3 Cinéma,591.0
Eurimages,850.0
,
,
Allegro Films,4899.0
Norstar Entertainment,16953.0
west wind entertainment,24946.0
Paramount Pictures,4.0
Rich Animation Studios,4108.0
Jones Entertainment Group,29272.0
Skerry Productions,29273.0
Jerry Weintraub Productions,2596.0
Warner Bros.,6194.0
Iguana Producciones,11134.0
Centropolis Entertainment,347.0
StudioCanal,694.0
Carolco Entertainment,10320.0
Walt Disney Pictures,2.0
Hollywood Pictures,915.0
Castle Rock Entertainment,97.0
Warner Bros.,6194.0
Channel Four Films,181.0
Figment Films,359.0
The Glasgow Film Fund,980.0
PolyGram Filmed Entertainment,1382.0
Kino Korsakoff,78701.0
Miramax Films,14.0
Tabasco films,6647.0
Instituto Mexicano de Cinematografía (IMCINE),8861.0
TeleMadrid,10015.0
Cineville,2832.0
Trimark Pictures,4063.0
Samuel Goldwyn Company,798.0
New Line Cinema,12.0
1992 Number Four Limited Partnership,4733.0
MHA,4734.0
Shanghai Film Studios,1078.0
Era International Ltd,25299.0
Trilogy Entertainment Group,2231.0
Universal Pictures,33.0
Tales From The Crypt Holdings,69626.0
Paramount Pictures,4.0
40 Acres & A Mule Filmworks,4319.0
Savoy Pictures,11308.0
,
Universal Pictures,33.0
Paramount Pictures,4.0
Sony Pictures Classics,58.0
Populist Pictures,14729.0
Savoy Pictures,11308.0
Price Entertainment,23808.0
"Jackson/McHenry Company,The",37350.0
Paramount Pictures,4.0
Paramount Pictures,4.0
Caravan Pictures,175.0
Hollywood Pictures,915.0
Universal Pictures,33.0
Fine Line Features,8.0
Téléfilm Canada,806.0
First Generation Films,4908.0
National Film Board of Canada (NFB),17027.0
British Columbia Film Commission,36024.0
Ciby 2000,105.0
Film Victoria,11840.0
House & Moorhouse Films,39250.0
Columbia Pictures Corporation,441.0
Beacon Pictures,10157.0
Warner Bros.,6194.0
Morgan Creek Productions,10210.0
PolyGram Filmed Entertainment,1382.0
Gramercy Pictures,37.0
Fine Line Features,8.0
R.P. Productions,355.0
Columbia Pictures Corporation,441.0
Les Films Alain Sarde,635.0
Canal+,5358.0
Timothy Burrill Productions,8131.0
Miramax Films,14.0
Paramount Pictures,4.0
Mace Neufeld Productions,2767.0
Regency Enterprises,508.0
Alcor Films,644.0
Warner Bros.,6194.0
New Line Cinema,12.0
Universal Pictures,33.0
40 Acres & A Mule Filmworks,4319.0
Miramax Films,14.0
Crowvision Inc.,4028.0
Entertainment Media Investment Corporation,4029.0
Jeff Most Productions,4030.0
Edward R. Pressman Film,6455.0
Regency Enterprises,508.0
Alcor Films,644.0
Warner Bros.,6194.0
Aleor Films,16823.0
Universal Pictures,33.0
Amblin Entertainment,56.0
Hanna-Barbera Productions,1353.0
Paramount Pictures,4.0
Channel Four Films,181.0
PolyGram Filmed Entertainment,1382.0
Working Title Films,10163.0
Columbia Pictures Corporation,441.0
New Deal Productions,1947.0
Columbia Pictures Corporation,441.0
Think Again Productions,37294.0
Riot of Color,37295.0
Caravan Pictures,175.0
Touchstone Pictures,9195.0
TriStar Pictures,559.0
,
Channel Four Films,181.0
Arte,201.0
Zweites Deutsches Fernsehen (ZDF),4606.0
Nomad Films,12914.0
Omega Film GmbH,12915.0
Without Walls,12916.0
Walt Disney Pictures,2.0
Walt Disney Feature Animation,10217.0
Miramax Films,14.0
New Line Cinema,12.0
New Line Cinema,12.0
Dark Horse Entertainment,552.0
Icon Entertainment International,4564.0
Warner Bros.,6194.0
Fine Line Features,8.0
Miramax Films,14.0
Paramount Pictures,4.0
Imagine Entertainment,23.0
Universal Pictures,33.0
Universal Pictures,33.0
Jersey Films,216.0
Propaganda Films,278.0
PolyGram Filmed Entertainment,1382.0
Davis Entertainment,1302.0
Silver Pictures,1885.0
Warner Bros.,6194.0
New Line Cinema,12.0
Universal Pictures,33.0
David Foster Productions,496.0
Turman-Foster Company,662.0
Twentieth Century Fox Film Corporation,306.0
Metro-Goldwyn-Mayer (MGM),8411.0
Universal Pictures,33.0
Renaissance Pictures,467.0
Dark Horse Entertainment,552.0
Largo Entertainment,1644.0
Signature Pictures,2982.0
JVC Entertainment Networks,4248.0
Twentieth Century Fox Film Corporation,306.0
Lightstorm Entertainment,574.0
Touchstone Pictures,9195.0
Columbia Pictures,5.0
Tig Productions,335.0
Warner Bros.,6194.0
Kasdan Pictures,13040.0
Paragon Entertainment Corp.,24217.0
Touchstone Pictures,9195.0
Tool Shed Productions,21857.0
BBC Films,288.0
Majestic Films International,2630.0
Little Bird,11358.0
Gramercy Pictures,37.0
PolyGram Filmed Entertainment,1382.0
Caravan Pictures,175.0
Hollywood Pictures,915.0
Strand Releasing,3923.0
Strand Home Video,25583.0
,
Eve Productions Inc.,170.0
,
Bolex Brothers,6215.0
Lumen Films,6216.0
Tara,6217.0
Universal Pictures,33.0
Capcom,7220.0
Propaganda Films,278.0
Motion Picture Corporation of America (MPCA),11061.0
Polygram Filmed Entertainment,31080.0
Snowback Productions,33419.0
,
Live Entertainment,285.0
Capitol Films,826.0
Bates Entertainmant,16835.0
A-Pix Entertainment,14280.0
Devin Entertainment,37300.0
Walt Disney Pictures,2.0
Theodore Thomas Productions,90509.0
Overseas FilmGroup,888.0
Skyline Entertainment Partners,38179.0
Arrow,38289.0
,
Home Box Office (HBO),3268.0
Frozen Rope Productions Inc.,38276.0
,
,
Trans-Film,2662.0
Initial Groupe,22240.0
Lumière Pictures,25129.0
Fallingcloud,30655.0
,
New Line Cinema,12.0
New Line Cinema,12.0
New Line Cinema,12.0
Paramount Pictures,4.0
Orion Pictures,41.0
Scott Rudin Productions,258.0
HBO Independent Productions,21222.0
Columbia Pictures,5.0
Twentieth Century Fox Film Corporation,306.0
Island World,1595.0
Robert Simonds Productions,3929.0
Hollywood Pictures,915.0
PolyGram Filmed Entertainment,1382.0
Interscope Communications,10201.0
Nomura Babcock & Brown,12883.0
NBB Unit One Film Partners,82606.0
Longview Entertainment,82607.0
Touchstone Pictures,9195.0
Twentieth Century Fox Film Corporation,306.0
"Ruddy Morgan Organization, The",89311.0
Fine Line Features,8.0
Castle Rock Entertainment,97.0
Barcelona Films,16737.0
Warner Bros.,6194.0
Enigma Productions,7049.0
BSB,58750.0
NatWest Ventures,79560.0
Fujisankei,79561.0
Twentieth Century Fox Film Corporation,306.0
Paramount Pictures,4.0
Eddie Murphy Productions,30.0
Warner Bros.,6194.0
New Line Cinema,12.0
Trilogy Entertainment Group,2231.0
Metro-Goldwyn-Mayer (MGM),8411.0
Paramount Pictures,4.0
Orion Pictures Corporation,14150.0
Heathrow Productions,18070.0
Warner Bros.,6194.0
Dorset Productions,10098.0
Robert H. Solo Productions,10099.0
Mainline Pictures,70969.0
HBO Films,7429.0
Savoy Pictures,11308.0
Touchstone Pictures,9195.0
Columbia Pictures,5.0
Parkway Productions,1350.0
Universal Pictures,33.0
Epic Productions,1988.0
Bregman/Baer Productions,11393.0
Columbia Pictures,5.0
Castle Rock Entertainment,97.0
Metro-Goldwyn-Mayer (MGM),8411.0
TriStar Pictures,559.0
Canal+,5358.0
Carolco Pictures,14723.0
RCS Video,23246.0
Cliffhanger Productions,45728.0
Pioneer,45729.0
Paramount Pictures,4.0
Hollywood Pictures,915.0
Cinergi Pictures Entertainment,1504.0
TriStar Pictures,559.0
Imagine Entertainment,23.0
Universal Pictures,33.0
Metro-Goldwyn-Mayer (MGM),8411.0
Maverick Picture Company,36863.0
Cecchi Gori Europa N.V.,36864.0
Eye Productions,36865.0
Pentamerica,68062.0
Donner/Shuler-Donner Productions,5739.0
Warner Bros.,6194.0
Northern Lights Entertainment,8816.0
Gramercy Pictures,37.0
Alphaville Productions,6556.0
The Criterion Collection,10932.0
Silver Pictures,1885.0
Warner Bros.,6194.0
,
Fine Line Features,8.0
Metro-Goldwyn-Mayer (MGM),8411.0
Beijing Film Studio,708.0
China Film Co-Production Corporation,2269.0
Maverick Picture Company,36863.0
Orion Pictures,41.0
Nelson Entertainment,365.0
Spring Creek Productions,705.0
Warner Bros.,6194.0
,
Spring Creek Productions,705.0
Warner Bros.,6194.0
Paramount Pictures,4.0
Spring Creek Productions,705.0
Mirage,19534.0
Fine Line Features,8.0
Universal Studios,13.0
Imagine Entertainment,23.0
Paramount Pictures,4.0
Mirage Enterprises,932.0
Davis Entertainment,1302.0
Canal Plus,104.0
Regency Enterprises,508.0
Alcor Films,644.0
Warner Bros.,6194.0
Donner/Shuler-Donner Productions,23397.0
Miramax Films,14.0
Warner Bros.,6194.0
Columbia Pictures,5.0
Universal Pictures,33.0
Largo Entertainment,1644.0
Metro-Goldwyn-Mayer (MGM),8411.0
Killer Films,1422.0
The Samuel Goldwyn Company,8888.0
Can I Watch,89521.0
Islet,89522.0
KPVI,89523.0
Gramercy Pictures,37.0
Hollywood Pictures,915.0
Universal Pictures,33.0
Renaissance Pictures,467.0
Alphaville Films,11462.0
Regency Enterprises,508.0
Warner Bros.,6194.0
Twentieth Century Fox Film Corporation,306.0
Sidley Wright & Associates,11751.0
Spelling Entertainment,272.0
IRS Media,1930.0
Republic Pictures (II),10348.0
Miramax Films,14.0
Parallax Pictures,983.0
Det Danske Filminstitut,118.0
Spring Creek Productions,705.0
Eurimages,850.0
Costa do Castelo Filmes,10598.0
Neue Constantin Film,13096.0
House of Spirits Film,33027.0
,
PolyGram Filmed Entertainment,1382.0
Silver Pictures,1885.0
